"e","a","i","om","w","ma","epoch","H","albedo","diameter","class","name"
.07863575691875528,2.766619044655007,10.58679512153367,80.2664361119415,73.53162522557164,334.3271698971151,2459800.5,3.33,0.090,939.4,MBA,Ceres
.2299864462769855,2.76946334077827,34.92714127566795,172.9179047682577,310.8426242044804,315.0911120839199,2459800.5,4.11,0.155,513,MBA,Pallas
.2567750213091558,2.670422183444182,12.99222578510694,169.8459401172877,247.8039397242374,306.6224073725103,2459800.5,5.12,0.214,246.596,MBA,Juno
.08840189374260063,2.361987199696643,7.140782834645754,103.800809741353,151.2577798334132,61.19229900418838,2459800.5,3.20,0.4228,525.4,MBA,Vesta
.1889851642980021,2.577540152301245,5.36541710576662,141.567500938104,358.7923834753086,208.5676964446143,2459800.5,7.01,0.274,106.699,MBA,Astraea
.2028010943296355,2.424925030828702,14.73826852439149,138.6370201255781,239.4976193646571,39.70383843350336,2459800.5,5.57,0.2679,185.18,MBA,Hebe
.2295797337327371,2.386895229089584,5.517355741923845,259.5163425818818,145.3772394178146,101.0671303761623,2459800.5,5.62,0.2766,199.83,MBA,Iris
.1562452648021388,2.201398945880138,5.888791429986583,110.8674780257368,285.5643609242175,196.5862389615992,2459800.5,6.59,0.226,147.491,MBA,Flora
.1235361822815568,2.38552997851895,5.576764980145585,68.89798401572776,6.091531761774961,238.1576687285518,2459800.5,6.32,0.118,190,MBA,Metis
.1113782553999786,3.140979449020453,3.831224657057114,283.1759502021256,312.5177457036166,4.280326969142751,2459800.5,5.60,0.0717,407.12,MBA,Hygiea
.09948661606552134,2.453310747017094,4.631432939818665,125.5262855082786,195.658542660252,226.6474744515587,2459800.5,6.73,0.191,142.887,MBA,Parthenope
.220667360862606,2.333239495668923,8.374459130441354,235.36565725353,69.61570630440214,105.1162425874531,2459800.5,7.37,0.163,115.087,MBA,Victoria
.08548904514193477,2.576040327163529,16.53610385763942,43.20675690949795,80.00896012914318,114.0490326983625,2459800.5,6.98,0.049,202.636,MBA,Egeria
.16575672924124,2.58575161838617,9.120885195073475,86.11579430696224,97.7086369526404,89.45938584164003,2459800.5,6.56,0.159,152,MBA,Irene
.1868394478166184,2.643595710986059,11.7522560973605,292.9166415090183,98.65743285552558,198.3294498324846,2459800.5,5.38,0.248,231.689,MBA,Eunomia
.1340311546632583,2.924399242206746,3.09692708634344,150.03276205,229.2623687108407,164.4824024530296,2459800.5,6.14,0.1203,226,MBA,Psyche
.1326848291712485,2.471027660516231,5.592453044230679,125.5431484997459,135.7703275004075,248.3584145715261,2459800.5,7.82,0.193,84.899,MBA,Thetis
.2180827277419975,2.295374501205068,10.13247580760559,150.3606776139849,228.1503490320565,247.0182416396427,2459800.5,6.57,0.181,139.594,MBA,Melpomene
.1571139499970814,2.442902544152745,1.573062842142523,211.0346989684174,182.5050900162908,146.6776076268497,2459800.5,7.43,0.037,200,MBA,Fortuna
.1431529917940046,2.408851460195143,.7089744704831896,205.9630381209614,257.5495608669087,73.24898624956872,2459800.5,6.59,0.241,135.680,MBA,Massalia
.1635759049233059,2.434691764016317,3.063807984109892,80.85125970085602,250.2288643146292,295.1897120089945,2459800.5,7.53,0.2212,95.76,MBA,Lutetia
.09852992584944423,2.910774643851919,13.69969116412604,65.98689462573608,357.6794054262572,73.1034373389045,2459800.5,6.64,0.166,167.536,MBA,Kalliope
.2315765847365559,2.63114092136116,10.09935316334539,66.55751206007302,61.20418477154247,253.1685605648043,2459800.5,7.18,0.2536,107.53,MBA,Thalia
.1201387992039626,3.148453178359214,.7502811108394714,36.15086744298662,107.5879732621643,207.0349838560421,2459800.5,7.30,0.067,198,MBA,Themis
.2548458484539631,2.399406226280062,21.60931640042038,214.0990930419641,90.24841232650473,131.0945823775733,2459800.5,7.91,0.350,61.054,MBA,Phocaea
.08917305503298451,2.654441184403221,3.562802452135195,45.76231566305753,193.6875558973058,18.84465406188817,2459800.5,7.61,0.1966,94.80,MBA,Proserpina
