"name","H","epoch","e","a","i","om","w","class","albedo","diameter","ma"
,14.92,2460600.5,0.2848,2.561,12.00,64.15,291.60,MBA,0.110,6.053,358.55
,14.81,2460600.5,0.1130,2.55,15.54,71.32,294.59,MBA,0.396,3.053,22.86
,14.52,2460600.5,0.0987,2.717,10.39,64.23,148.33,MBA,0.370,3.159,8.83
,14.77,2460600.5,0.1211,2.741,7.28,51.80,77.14,MBA,0.078,6.553,64.73
,14.71,2460600.5,0.1218,2.699,12.48,66.78,111.31,MBA,0.204,3.378,74.40
,14.70,2460600.5,0.1142,3.186,3.04,63.19,248.81,MBA,,,173.34
,15.17,2460600.5,0.1352,2.761,12.17,129.79,181.75,MBA,0.202,3.398,177.67
,14.95,2460600.5,0.0489,3.016,10.70,73.85,190.93,MBA,,,14.30
,14.07,2460600.5,0.2835,2.695,12.82,80.75,246.98,MBA,0.100,7.648,238.54
Moraes,14.31,2460600.5,0.2868,3.141,27.92,216.09,237.22,MBA,0.077,7.272,99.04
,15.20,2460600.5,0.0821,3.006,3.55,152.04,183.06,MBA,0.041,6.592,293.14
,13.89,2460600.5,0.2170,3.099,14.88,233.11,355.51,MBA,0.241,4.922,336.08
,14.38,2460600.5,0.0348,3.241,12.02,267.06,29.20,OMB,0.092,7.269,151.93
,15.46,2460600.5,0.2435,2.312,4.58,56.53,315.15,MBA,0.437,2.105,340.01
,15.23,2460600.5,0.0878,2.741,9.87,242.34,241.37,MBA,0.134,2.629,43.17
,13.74,2460600.5,0.0009,3.062,8.41,346.51,268.01,MBA,0.152,7.111,323.62
,14.32,2460600.5,0.0825,3.102,14.42,15.31,262.73,MBA,0.236,3.778,258.60
,14.18,2460600.5,0.1868,3.077,10.04,100.70,281.03,MBA,,,157.92
,15.40,2460600.5,0.0547,2.784,3.23,347.94,279.90,MBA,,,171.49
,13.95,2460600.5,0.1340,2.893,11.39,349.67,257.28,MBA,0.347,4.502,170.55
,15.31,2460600.5,0.1687,2.538,4.27,232.12,95.10,MBA,,,43.78
,14.04,2460600.5,0.0339,3.251,15.75,4.21,129.36,OMB,0.069,8.779,319.56
,14.62,2460600.5,0.0734,2.449,7.61,341.75,66.92,MBA,0.169,4.678,86.60
,14.66,2460600.5,0.1231,2.772,8.23,289.50,158.03,MBA,,,35.52
,14.03,2460600.5,0.1279,3.06,11.27,15.33,334.46,MBA,0.281,5.003,221.38
,14.82,2460600.5,0.0256,3.051,8.58,353.68,325.58,MBA,,,267.86
,14.45,2460600.5,0.0826,3.142,12.09,25.00,61.63,MBA,,,113.58
,13.62,2460600.5,0.1454,3.19,18.04,78.06,315.27,MBA,0.052,11.154,125.35
,12.99,2460600.5,0.0055,3.118,20.93,86.42,191.40,MBA,0.096,11.815,267.01
,14.37,2460600.5,0.1303,3.233,6.59,44.05,197.11,OMB,0.041,8.301,217.95
,15.43,2460600.5,0.0542,2.756,5.76,76.95,101.36,MBA,0.054,4.759,323.88
,16.71,2460600.5,0.1599,2.291,1.13,87.09,233.59,MBA,0.188,1.221,40.00
,14.44,2460600.5,0.0261,3.174,17.50,170.41,49.80,MBA,0.041,9.529,268.59
,14.16,2460600.5,0.2049,2.983,15.93,142.02,185.78,MBA,0.168,5.631,286.02
,14.59,2460600.5,0.0735,3.055,18.19,104.12,292.87,MBA,0.232,3.810,178.79
,13.94,2460600.5,0.0717,3.041,10.21,161.04,8.40,MBA,0.081,8.905,83.83
,15.09,2460600.5,0.1108,2.708,15.65,178.99,140.79,MBA,0.201,3.404,218.11
,15.02,2460600.5,0.2422,2.648,12.36,131.52,238.45,MBA,,,227.58
,14.83,2460600.5,0.1851,3.088,14.99,233.55,35.43,MBA,0.204,3.539,285.27
,14.70,2460600.5,0.0973,3.05,13.04,142.40,331.21,MBA,0.130,4.864,123.63
,13.97,2460600.5,0.2576,3.059,16.80,151.18,222.23,MBA,0.041,9.243,207.06
,14.14,2460600.5,0.0557,3.15,21.55,152.50,245.14,MBA,0.076,7.993,134.38
,13.87,2460600.5,0.0069,2.679,22.61,80.55,319.20,MBA,0.299,5.077,157.40
,14.48,2460600.5,0.0800,3.053,13.65,103.92,307.50,MBA,0.062,7.699,181.84
,14.50,2460600.5,0.1680,3.094,18.36,111.32,213.63,MBA,0.078,6.865,199.78
,14.76,2460600.5,0.2181,2.671,12.23,94.46,269.06,MBA,0.062,7.067,186.34
,15.06,2460600.5,0.1112,2.965,9.60,182.90,218.35,MBA,0.157,3.062,262.57
,15.29,2460600.5,0.2834,2.66,13.61,118.05,283.17,MBA,0.186,2.230,189.75
,14.61,2460600.5,0.1223,3.083,11.03,4.82,313.80,MBA,0.122,5.249,220.56
,14.35,2460600.5,0.0895,3.052,9.96,356.72,357.33,MBA,,,223.12
,14.28,2460600.5,0.0933,3.085,9.89,354.29,30.79,MBA,0.226,4.428,175.11
,14.79,2460600.5,0.1695,2.613,9.81,175.24,133.90,MBA,,,336.09
,14.16,2460600.5,0.0594,3.174,11.59,136.16,300.34,MBA,,,72.52
,14.64,2460600.5,0.1103,3.131,9.83,122.93,242.76,MBA,,,157.61
,14.66,2460600.5,0.0540,3.044,11.62,79.99,202.81,MBA,0.122,5.243,315.81
,15.37,2460600.5,0.2475,2.533,5.66,62.11,241.03,MBA,,,76.73
,15.46,2460600.5,0.1945,2.363,8.13,82.51,130.66,MBA,0.066,4.689,37.68
,14.99,2460600.5,0.1760,2.742,13.25,194.32,195.86,MBA,0.213,3.460,122.27
,14.46,2460600.5,0.0729,3.134,7.17,65.75,312.59,MBA,0.057,8.390,158.57
,13.22,2460600.5,0.1733,3.117,17.37,104.65,66.71,MBA,0.235,7.205,10.03
,14.48,2460600.5,0.1296,2.584,14.44,102.30,350.86,MBA,0.306,3.473,224.10
,14.69,2460600.5,0.1865,2.649,14.19,72.76,315.13,MBA,0.286,3.278,252.01
,13.84,2460600.5,0.0431,3.199,16.58,111.60,354.25,MBA,0.036,11.152,61.48
,15.22,2460600.5,0.1685,2.616,14.05,81.98,237.54,MBA,,,301.11
,15.01,2460600.5,0.0932,3.023,11.60,165.80,233.86,MBA,0.165,3.930,213.16
,13.97,2460600.5,0.0748,3.009,10.54,121.86,36.78,MBA,0.140,6.460,113.97
,14.11,2460600.5,0.0815,3.217,16.66,202.57,345.80,OMB,0.077,8.710,295.43
,14.64,2460600.5,0.1730,2.625,33.94,96.31,201.92,MBA,,,318.78
,15.81,2460600.5,0.1971,2.576,14.01,159.94,204.70,MBA,,,316.94
,14.89,2460600.5,0.1168,3.107,16.87,150.43,290.20,MBA,0.039,6.134,127.33
Courtemanche,15.50,2460600.5,0.0563,2.886,3.26,78.09,349.13,MBA,,,309.26
,15.94,2460600.5,0.0523,2.431,6.16,301.55,241.88,MBA,,,348.57
,15.46,2460600.5,0.0965,2.369,11.13,224.68,12.80,MBA,0.328,2.322,25.92
,14.98,2460600.5,0.0281,3.066,3.02,83.40,45.63,MBA,,,87.51
,14.77,2460600.5,0.2610,2.769,13.99,25.58,7.54,MBA,,,47.27
,15.98,2460600.5,0.0645,2.753,1.19,186.14,260.07,MBA,,,58.53
,15.56,2460600.5,0.2259,2.441,14.93,62.38,212.80,MBA,0.072,3.596,196.90
,14.35,2460600.5,0.1721,3.037,12.05,101.62,290.26,MBA,0.088,7.427,199.45
,14.91,2460600.5,0.1759,2.549,7.73,183.74,75.17,MBA,0.218,3.121,99.61
,14.52,2460600.5,0.0678,3.145,10.14,98.77,352.81,MBA,0.096,6.804,70.74
,14.86,2460600.5,0.0830,2.985,9.61,178.87,215.53,MBA,0.209,3.493,246.04
,15.33,2460600.5,0.1636,2.582,10.10,116.30,232.22,MBA,,,321.47
,13.99,2460600.5,0.1727,3.19,15.06,149.42,272.28,MBA,0.077,9.155,66.23
,15.48,2460600.5,0.0616,1.976,18.57,248.86,305.27,IMB,,,148.29
,15.44,2460600.5,0.0700,2.553,9.54,92.15,287.66,MBA,,,11.18
,14.28,2460600.5,0.1825,3.068,18.65,33.08,0.46,MBA,0.109,4.831,183.50
Choemuseon,14.85,2460600.5,0.1641,3.182,2.31,92.56,197.12,MBA,0.046,5.888,203.20
,13.77,2460600.5,0.0992,3.231,11.16,86.92,18.39,OMB,0.047,11.740,31.56
,14.66,2460600.5,0.0708,3.105,8.78,357.44,357.43,MBA,0.163,4.335,194.89
,14.42,2460600.5,0.0635,2.977,9.56,12.67,341.36,MBA,0.123,5.477,300.12
,13.86,2460600.5,0.0378,3.211,15.38,47.62,337.96,OMB,0.085,9.526,98.49
,14.21,2460600.5,0.1140,3.205,13.83,40.79,285.75,OMB,0.075,8.066,150.40
,14.51,2460600.5,0.0767,3.11,12.89,31.94,277.19,MBA,0.052,6.715,240.84
,14.37,2460600.5,0.2335,2.63,17.01,51.18,306.93,MBA,0.193,3.989,278.57
,15.64,2460600.5,0.1339,2.334,6.42,347.47,39.24,MBA,,,297.48
,14.54,2460600.5,0.1545,3.1,14.77,20.48,54.46,MBA,0.242,3.729,155.65
,14.03,2460600.5,0.1838,3.148,16.64,338.41,50.17,MBA,0.027,10.228,128.18
Yicheon,14.52,2460600.5,0.0954,3.12,10.48,83.71,258.11,MBA,0.111,5.510,205.00
,13.90,2460600.5,0.2683,2.295,10.89,61.53,261.24,MBA,0.192,5.786,341.73
,16.26,2460600.5,0.0203,2.648,1.32,207.64,323.70,MBA,,,125.06
,14.55,2460600.5,0.1364,3.087,11.37,64.17,290.08,MBA,0.103,5.713,219.67
,15.96,2460600.5,0.2552,2.184,7.77,112.02,206.86,MCA,,,246.76
,14.82,2460600.5,0.2078,3.088,7.54,355.03,194.83,MBA,,,70.59
Davidcapek,13.94,2460600.5,0.1577,3.157,17.46,84.03,293.60,MBA,0.046,11.217,140.09
Jerusalem,14.29,2460600.5,0.2093,2.29,25.19,109.25,21.94,MBA,0.235,4.339,295.38
,15.92,2460600.5,0.3067,2.273,3.33,22.13,315.82,MCA,,,69.77
,14.35,2460600.5,0.0464,2.967,8.94,245.79,14.17,MBA,,,52.00
,14.62,2460600.5,0.1008,3.045,11.14,105.34,304.99,MBA,0.203,4.466,183.11
,15.08,2460600.5,0.1699,2.473,7.83,141.66,219.30,MBA,,,86.33
,16.31,2460600.5,0.0411,2.398,1.63,208.72,0.74,MBA,,,20.44
,15.99,2460600.5,0.1395,2.62,3.63,318.98,5.37,MBA,,,7.30
,15.85,2460600.5,0.2184,2.178,4.06,84.47,245.83,MBA,0.137,2.162,282.59
,14.98,2460600.5,0.0778,2.793,1.02,180.58,289.12,MBA,0.078,5.731,25.95
,14.05,2460600.5,0.0887,3.22,16.69,111.71,185.10,OMB,0.073,8.980,205.68
,14.80,2460600.5,0.0333,2.8,9.64,102.79,59.46,MBA,0.141,4.664,335.98
,15.83,2460600.5,0.0984,2.186,2.25,70.69,322.50,MBA,,,196.34
,12.50,2460600.5,0.0125,5.078,5.33,249.04,194.41,TJN,,,41.11
,12.59,2460600.5,0.0155,5.082,2.81,315.23,183.41,TJN,0.141,12.254,11.80
,14.04,2460600.5,0.1236,3.236,13.74,115.01,347.31,OMB,0.034,9.080,50.52
,14.56,2460600.5,0.1542,3.173,4.94,112.73,320.02,MBA,,,85.02
,14.76,2460600.5,0.0982,2.976,11.83,111.66,271.31,MBA,,,288.41
,14.46,2460600.5,0.0721,3.081,10.59,81.14,238.35,MBA,,,256.58
,13.92,2460600.5,0.1506,3.202,10.65,97.87,143.63,OMB,0.236,5.458,254.33
,15.31,2460600.5,0.1423,2.563,8.87,114.41,250.11,MBA,,,1.38
,14.15,2460600.5,0.0748,3.194,6.28,105.18,59.74,MBA,0.072,8.612,355.74
,12.86,2460600.5,0.1468,3.956,9.39,101.37,217.23,OMB,0.063,16.695,141.26
,15.18,2460600.5,0.0854,3.016,1.53,194.99,247.12,MBA,,,207.05
,15.00,2460600.5,0.1915,3.203,1.23,57.54,312.90,OMB,0.054,5.745,118.83
,15.67,2460600.5,0.0927,2.872,2.07,244.77,256.62,MBA,,,292.40
,15.54,2460600.5,0.1821,3.09,1.79,143.61,351.21,MBA,,,113.16
,14.83,2460600.5,0.1654,2.851,15.68,117.51,257.66,MBA,0.158,4.414,62.99
,14.44,2460600.5,0.0741,2.997,15.52,145.74,350.25,MBA,,,194.73
,15.80,2460600.5,0.1245,2.634,2.03,341.50,11.20,MBA,,,284.22
,15.07,2460600.5,0.0170,2.789,3.81,66.23,169.92,MBA,,,265.96
,12.73,2460600.5,0.1000,5.116,10.78,101.02,24.35,TJN,,,13.65
,14.34,2460600.5,0.0082,3.104,12.40,129.05,247.78,MBA,0.204,4.458,163.63
,11.69,2460600.5,0.0473,5.212,18.93,325.55,173.05,TJN,0.080,24.692,348.94
,14.84,2460600.5,0.1446,2.797,15.75,106.52,231.66,MBA,,,84.60
,13.90,2460600.5,0.1498,3.034,11.79,126.49,290.66,MBA,0.274,4.837,200.34
,14.41,2460600.5,0.0911,3.065,10.87,133.78,256.31,MBA,0.137,5.427,200.57
,15.70,2460600.5,0.1861,2.902,17.68,105.94,84.94,MBA,0.042,4.715,234.42
,13.82,2460600.5,0.0296,3.247,23.60,72.75,173.14,OMB,0.036,11.617,210.84
,14.71,2460600.5,0.0860,3.109,2.15,75.63,103.05,MBA,0.065,6.576,66.29
,12.47,2460600.5,0.0802,5.141,1.99,99.96,339.75,TJN,,,60.80
,15.34,2460600.5,0.0600,2.89,3.16,104.59,210.16,MBA,,,110.09
,14.34,2460600.5,0.0266,2.99,9.75,113.80,64.20,MBA,0.190,4.832,112.32
,12.69,2460600.5,0.0495,5.092,4.27,136.99,350.61,TJN,,,5.53
,15.00,2460600.5,0.2047,2.75,11.24,227.75,220.96,MBA,0.083,4.412,108.29
,16.19,2460600.5,0.1240,2.325,6.32,213.89,161.26,MBA,0.190,1.527,331.58
,14.80,2460600.5,0.0655,3.113,12.45,132.60,1.55,MBA,0.120,4.833,99.24
,15.82,2460600.5,0.1204,2.302,7.17,148.29,232.70,MBA,0.446,1.581,13.77
,12.25,2460600.5,0.0810,5.179,12.93,143.05,270.86,TJN,,,70.85
,15.07,2460600.5,0.0190,2.749,6.30,169.59,132.84,MBA,,,260.07
,15.45,2460600.5,0.1137,2.454,6.57,163.86,9.01,MBA,,,45.77
,15.00,2460600.5,0.0797,2.745,4.54,146.13,88.51,MBA,0.069,6.083,335.10
,14.56,2460600.5,0.1341,3.125,8.07,166.57,258.02,MBA,0.033,7.604,133.92
,15.46,2460600.5,0.1224,3.06,1.58,174.92,304.61,MBA,,,160.40
,14.45,2460600.5,0.0941,2.939,13.45,67.47,269.20,MBA,,,9.66
,15.23,2460600.5,0.1731,2.29,5.08,54.38,326.72,MBA,0.234,3.014,7.95
,15.16,2460600.5,0.2095,2.353,5.62,327.64,19.17,MBA,0.330,2.424,298.41
,14.75,2460600.5,0.1313,2.737,4.21,60.39,28.82,MBA,0.299,3.203,100.91
,14.78,2460600.5,0.1614,2.944,12.19,79.65,297.88,MBA,,,323.39
,14.06,2460600.5,0.1400,2.999,18.30,95.03,252.57,MBA,,,315.84
,15.55,2460600.5,0.1755,2.223,6.40,52.47,297.82,MBA,,,168.77
,14.88,2460600.5,0.1425,2.541,9.60,96.78,77.30,MBA,0.282,3.300,284.96
,14.02,2460600.5,0.0537,3.196,13.60,24.97,265.01,MBA,0.040,9.997,255.45
,15.88,2460600.5,0.1084,1.929,23.63,148.07,234.35,IMB,,,43.83
,16.31,2460600.5,0.0565,2.258,7.04,356.33,187.56,MBA,,,306.76
,14.51,2460600.5,0.0315,3.079,10.08,159.76,11.68,MBA,,,85.45
,14.68,2460600.5,0.1149,2.659,14.93,125.86,130.10,MBA,0.218,3.581,60.23
,14.68,2460600.5,0.0791,2.97,10.47,95.53,272.41,MBA,,,336.08
,14.95,2460600.5,0.1192,3.173,2.08,63.00,157.43,MBA,,,1.99
,12.57,2460600.5,0.0597,5.345,6.69,129.75,16.53,TJN,0.070,19.085,330.86
,14.45,2460600.5,0.0891,3.132,5.53,345.11,167.86,MBA,,,87.67
,16.21,2460600.5,0.1294,2.2,6.74,159.34,54.83,MBA,,,7.60
,12.21,2460600.5,0.0705,5.23,14.80,330.20,245.94,TJN,0.080,19.567,274.72
,14.02,2460600.5,0.0344,3.537,6.74,121.29,10.45,OMB,,,208.71
,16.04,2460600.5,0.1360,2.387,2.35,95.53,114.21,MBA,,,93.07
,15.40,2460600.5,0.0646,2.978,0.97,329.64,117.69,MBA,,,241.05
,15.26,2460600.5,0.0904,2.551,14.34,127.02,264.53,MBA,0.187,2.470,18.39
,12.12,2460600.5,0.0678,5.203,6.23,297.13,186.40,TJN,0.098,19.447,4.57
,15.35,2460600.5,0.1577,2.591,15.21,125.43,279.39,MBA,,,312.32
,12.10,2460600.5,0.0494,5.255,25.77,128.94,32.70,TJN,0.095,22.593,323.13
,15.46,2460600.5,0.0934,2.888,5.68,143.89,300.28,MBA,0.165,2.988,339.66
,15.52,2460600.5,0.0284,2.527,5.49,149.14,36.28,MBA,,,276.54
,15.72,2460600.5,0.1949,2.395,2.76,154.14,236.90,MBA,,,225.09
,15.53,2460600.5,0.1840,3.066,1.74,151.86,320.49,MBA,0.054,4.555,156.69
,15.73,2460600.5,0.1755,2.519,2.26,335.37,77.71,MBA,,,40.50
,16.04,2460600.5,0.1099,2.285,6.16,321.92,209.12,MBA,,,295.30
,15.19,2460600.5,0.1973,2.609,15.20,158.77,40.48,MBA,0.055,5.400,197.57
,13.03,2460600.5,0.1174,3.914,9.06,25.30,234.51,OMB,0.041,15.068,261.73
,14.90,2460600.5,0.3081,2.769,8.98,196.74,165.07,MBA,0.066,4.491,118.84
,14.94,2460600.5,0.1082,3.145,3.74,299.33,259.21,MBA,,,33.77
,11.45,2460600.5,0.2968,9.888,12.41,280.55,129.51,CEN,,,320.18
,14.95,2460600.5,0.1307,2.707,11.62,278.72,249.64,MBA,0.153,2.962,111.84
,15.13,2460600.5,0.2331,2.271,9.53,124.37,195.13,MBA,0.549,2.842,75.88
,15.55,2460600.5,0.2509,2.326,7.66,165.17,41.39,MBA,,,201.07
,14.70,2460600.5,0.1298,2.766,12.66,202.86,357.99,MBA,0.295,3.379,354.35
,12.46,2460600.5,0.0637,5.207,12.80,131.75,303.25,TJN,0.137,14.305,54.56
,14.86,2460600.5,0.1637,3.107,13.41,187.22,238.58,MBA,0.034,6.555,142.95
,13.21,2460600.5,0.0341,5.177,2.23,8.03,178.06,TJN,,,314.29
,15.57,2460600.5,0.0834,1.948,25.67,121.74,308.78,IMB,,,293.05
,14.67,2460600.5,0.0460,3.085,10.45,121.04,17.58,MBA,,,137.96
,15.24,2460600.5,0.1252,2.47,7.76,129.96,167.15,MBA,0.468,2.229,255.10
,14.46,2460600.5,0.0982,3.054,12.85,133.40,333.66,MBA,,,190.96
,15.92,2460600.5,0.0775,2.323,7.71,127.07,114.64,MBA,,,156.83
,12.65,2460600.5,0.1239,5.216,8.10,92.20,26.98,TJN,0.062,18.515,14.15
,14.37,2460600.5,0.1339,3.094,6.06,61.33,213.45,MBA,0.065,8.261,6.10
,16.43,2460600.5,0.1169,2.259,4.14,51.31,190.59,MBA,0.062,2.926,264.07
,15.95,2460600.5,0.1677,2.233,7.77,124.46,206.44,MBA,,,190.43
,12.45,2460600.5,0.0791,5.147,7.40,155.91,258.01,TJN,,,81.94
,14.49,2460600.5,0.0561,3.13,11.61,107.93,167.18,MBA,,,333.04
,13.78,2460600.5,0.2981,2.597,18.53,74.46,318.07,MBA,0.153,6.855,318.92
,12.46,2460600.5,0.0415,5.174,9.73,81.90,354.61,TJN,,,44.40
,11.63,2460600.5,0.1254,5.222,9.41,356.38,258.80,TJN,0.060,29.767,240.31
,14.15,2460600.5,0.0437,3.077,12.12,115.77,8.28,MBA,,,169.94
,15.87,2460600.5,0.1052,2.275,6.48,85.32,33.28,MBA,,,359.35
,14.80,2460600.5,0.1555,2.644,13.81,147.46,296.18,MBA,0.172,4.223,207.18
,15.20,2460600.5,0.0867,2.575,12.21,160.01,328.14,MBA,0.190,2.425,267.55
,12.79,2460600.5,0.1293,5.223,12.57,165.14,342.81,TJN,0.094,15.005,345.36
,13.02,2460600.5,0.1026,5.171,1.95,223.83,230.44,TJN,,,40.76
,14.77,2460600.5,0.0323,3.071,10.29,155.83,45.51,MBA,,,71.87
,15.68,2460600.5,0.2432,2.549,5.68,179.11,63.54,MBA,0.139,2.352,215.02
,16.46,2460600.5,0.0821,2.254,5.04,325.79,213.78,MBA,,,337.28
,14.56,2460600.5,0.0595,3.364,4.54,129.77,235.81,OMB,0.078,5.732,87.41
,12.77,2460600.5,0.1584,5.258,3.42,134.60,307.54,TJN,0.129,12.271,45.10
,14.73,2460600.5,0.0528,2.979,10.17,147.45,145.42,MBA,0.070,4.376,74.99
,12.18,2460600.5,0.1037,5.31,6.40,173.88,222.82,TJN,0.099,16.057,97.33
,12.16,2460600.5,0.0784,5.224,17.28,235.21,202.00,TJN,0.080,18.666,75.64
,14.74,2460600.5,0.0622,3.068,9.76,236.53,53.72,MBA,0.109,4.418,17.44
,15.74,2460600.5,0.0417,2.424,6.89,103.48,68.40,MBA,,,96.80
,12.46,2460600.5,0.0645,5.291,6.55,111.87,87.67,TJN,,,289.48
,12.79,2460600.5,0.0677,5.175,7.95,65.09,57.63,TJN,0.116,12.921,26.16
,12.22,2460600.5,0.0591,5.223,13.41,143.10,273.55,TJN,0.094,18.035,75.93
,13.79,2460600.5,0.1614,3.942,3.26,145.19,137.17,OMB,0.042,9.363,239.85
,12.43,2460600.5,0.0369,5.123,32.80,117.47,318.09,TJN,,,59.62
,15.82,2460600.5,0.1736,2.287,7.90,102.30,293.23,MBA,,,38.47
,15.82,2460600.5,0.1529,2.359,2.52,151.54,54.25,MBA,,,164.72
,15.84,2460600.5,0.1280,2.605,4.52,32.53,183.76,MBA,,,186.90
,15.82,2460600.5,0.2232,2.411,5.48,72.81,200.15,MBA,,,38.70
,15.41,2460600.5,0.1502,2.733,9.42,153.98,123.92,MBA,0.043,5.351,351.70
,15.34,2460600.5,0.2444,2.322,3.00,29.21,261.73,MBA,,,148.41
,14.99,2460600.5,0.1027,2.748,15.09,167.30,111.05,MBA,0.194,3.162,351.49
,14.16,2460600.5,0.2061,2.75,10.43,54.45,293.55,MBA,0.063,9.652,244.50
,16.50,2460600.5,0.1835,2.343,1.31,271.75,339.97,MBA,,,147.05
,15.08,2460600.5,0.1399,2.749,8.63,183.21,25.77,MBA,0.062,4.653,34.52
Bobkepple,14.81,2460600.5,0.1509,3.206,5.56,179.68,134.78,OMB,0.055,6.216,275.01
,15.51,2460600.5,0.2720,2.295,2.44,193.55,81.80,MBA,,,244.67
Barbarawilson,15.55,2460600.5,0.0712,2.348,5.33,175.57,337.97,MBA,,,221.89
,16.20,2460600.5,0.1461,2.387,3.34,74.59,204.29,MBA,,,65.84
,16.04,2460600.5,0.1546,2.394,1.64,315.64,243.11,MBA,,,117.55
,15.65,2460600.5,0.0755,2.478,6.11,102.66,124.87,MBA,,,350.55
,15.53,2460600.5,0.0570,1.971,19.91,226.26,319.54,IMB,,,168.06
,14.10,2460600.5,0.1894,3.144,9.48,243.99,29.24,MBA,0.061,9.347,8.33
,14.98,2460600.5,0.2584,2.461,10.10,35.72,292.26,MBA,0.049,6.919,278.62
,15.10,2460600.5,0.0348,2.585,14.84,158.63,59.56,MBA,0.100,3.658,182.43
,16.46,2460600.5,0.1745,2.388,3.44,159.23,87.34,MBA,,,84.80
,14.30,2460600.5,0.1532,3.062,1.84,317.27,283.39,MBA,0.090,7.025,93.98
,16.29,2460600.5,0.1873,2.401,1.51,216.98,21.87,MBA,,,76.58
,15.74,2460600.5,0.1709,2.649,1.75,195.90,76.13,MBA,0.051,4.266,92.04
,16.48,2460600.5,0.1939,2.325,1.55,302.93,282.28,MBA,,,206.55
,15.14,2460600.5,0.2657,3.046,2.93,154.05,68.59,MBA,0.027,6.127,138.28
,15.54,2460600.5,0.0684,2.562,25.96,191.03,54.56,MBA,0.057,3.843,215.58
,16.08,2460600.5,0.1851,2.213,7.27,9.49,271.42,MBA,,,354.37
,16.10,2460600.5,0.2171,2.212,2.34,156.26,145.21,MBA,,,331.04
,16.00,2460600.5,0.1085,2.61,3.49,190.52,51.67,MBA,,,172.69
,16.13,2460600.5,0.1395,2.39,2.55,192.84,48.18,MBA,,,99.21
,15.78,2460600.5,0.1150,2.384,2.04,343.59,207.28,MBA,,,151.75
,16.48,2460600.5,0.1437,2.404,2.93,147.11,69.00,MBA,,,84.93
,16.23,2460600.5,0.1567,2.429,1.97,124.63,124.77,MBA,,,27.31
,15.09,2460600.5,0.1307,2.667,11.18,220.86,312.24,MBA,0.067,6.046,169.38
,16.09,2460600.5,0.0534,2.242,6.75,157.04,268.26,MBA,,,111.13
,15.85,2460600.5,0.0879,2.465,6.64,22.08,207.38,MBA,,,345.46
,15.32,2460600.5,0.0880,2.321,7.09,136.40,141.56,MBA,,,153.28
,16.24,2460600.5,0.1609,2.22,5.21,140.62,137.00,MBA,,,328.95
,14.56,2460600.5,0.1714,3.194,22.44,173.90,320.85,MBA,0.097,5.622,74.12
,15.54,2460600.5,0.2072,2.286,6.94,37.96,256.30,MBA,,,208.41
,16.11,2460600.5,0.1033,2.235,3.96,141.17,308.06,MBA,,,103.77
,15.38,2460600.5,0.0200,2.714,7.28,40.58,118.68,MBA,,,124.57
,15.59,2460600.5,0.0866,2.415,3.61,66.32,182.21,MBA,,,57.93
,15.86,2460600.5,0.2135,2.546,6.28,62.26,224.74,MBA,0.291,1.869,213.99
,15.98,2460600.5,0.0537,2.395,6.72,161.55,4.76,MBA,,,151.59
,14.26,2460600.5,0.3870,2.627,27.94,27.75,274.47,MCA,,,132.31
,15.15,2460600.5,0.0589,2.564,13.34,39.53,261.39,MBA,0.127,4.280,170.36
,15.33,2460600.5,0.1023,3.005,1.72,144.44,118.55,MBA,0.059,5.211,131.68
,14.64,2460600.5,0.2005,2.691,13.01,43.78,251.57,MBA,0.203,3.236,38.74
,15.41,2460600.5,0.1905,2.627,10.03,166.84,0.23,MBA,,,215.24
,15.59,2460600.5,0.0838,2.368,6.71,107.38,160.78,MBA,,,88.16
,14.33,2460600.5,0.0410,3.253,12.81,130.37,257.47,OMB,,,152.92
,16.16,2460600.5,0.0896,2.386,7.40,126.14,93.67,MBA,,,108.14
,15.95,2460600.5,0.1339,2.596,7.50,227.61,355.29,MBA,,,193.53
,14.23,2460600.5,0.1241,3.193,4.35,227.42,68.74,MBA,,,295.82
,16.37,2460600.5,0.1741,2.201,4.47,183.24,120.65,MBA,0.026,3.603,349.75
,15.16,2460600.5,0.1780,2.605,12.71,192.08,42.24,MBA,0.301,2.783,200.29
,16.07,2460600.5,0.0276,2.259,5.61,286.09,236.11,MBA,,,8.02
,14.13,2460600.5,0.1648,3.118,14.71,197.92,130.38,MBA,,,356.39
,14.48,2460600.5,0.3070,3.069,20.51,181.16,87.69,MBA,,,107.91
,14.68,2460600.5,0.0997,2.97,11.05,161.24,148.30,MBA,0.069,4.598,122.25
,15.44,2460600.5,0.1573,2.578,13.61,41.05,225.80,MBA,0.241,2.469,189.02
,14.84,2460600.5,0.1004,3.008,11.08,144.16,168.67,MBA,,,80.34
,16.03,2460600.5,0.1031,2.671,2.65,37.66,206.83,MBA,0.181,2.158,101.20
,14.93,2460600.5,0.1778,2.733,9.26,172.15,66.83,MBA,0.161,2.885,7.60
,15.68,2460600.5,0.1347,2.296,3.05,130.09,226.54,MBA,,,126.95
,14.27,2460600.5,0.1350,3.045,11.94,71.29,287.76,MBA,0.104,4.948,341.68
Guengerich,16.51,2460600.5,0.1343,2.268,6.07,171.38,128.31,MBA,,,236.60
,15.96,2460600.5,0.1271,2.149,2.75,45.83,269.17,MBA,,,81.23
,15.93,2460600.5,0.1986,2.443,2.38,171.18,103.22,MBA,,,13.60
