"name","H","epoch","e","a","i","om","w","class","albedo","diameter","ma"
Danae,7.75,2460600.5,0.1641,2.986,18.20,333.55,12.86,MBA,0.203,85.937,294.01
Erato,8.93,2460600.5,0.1681,3.131,2.24,125.10,277.65,MBA,0.048,106.921,234.49
Ausonia,7.13,2460600.5,0.1282,2.395,5.77,337.69,295.71,MBA,0.125,116.044,311.64
Angelina,7.79,2460600.5,0.1263,2.682,1.31,308.96,181.00,MBA,0.483,58.292,125.20
Cybele,6.83,2460600.5,0.1265,3.413,3.56,155.14,103.65,OMB,0.0706,237.26,210.43
Maja,9.51,2460600.5,0.1724,2.646,3.04,7.49,43.39,MBA,0.016,71.82,117.75
Asia,8.41,2460600.5,0.1846,2.423,6.03,202.38,107.25,MBA,0.228,56.309,81.31
Leto,6.90,2460600.5,0.1845,2.783,7.96,44.05,304.82,MBA,0.228,122.509,325.79
Hesperia,7.22,2460600.5,0.1698,2.98,8.59,184.95,288.23,MBA,0.1402,138.13,326.00
Panopaea,8.20,2460600.5,0.1827,2.614,11.60,47.64,255.50,MBA,0.038,127.911,176.17
Niobe,7.24,2460600.5,0.1768,2.754,23.24,315.91,267.06,MBA,0.3052,83.42,334.91
Feronia,9.08,2460600.5,0.1215,2.266,5.42,207.93,102.84,MBA,0.083,74.966,224.60
Klytia,9.08,2460600.5,0.0422,2.665,2.37,6.84,56.34,MBA,0.223,44.590,245.87
Galatea,8.94,2460600.5,0.2362,2.78,4.07,197.11,174.86,MBA,0.0431,118.71,339.33
Eurydike,9.27,2460600.5,0.3039,2.675,4.99,359.30,339.62,MBA,0.117,62.377,52.25
Freia,8.03,2460600.5,0.1675,3.41,2.12,204.28,252.07,OMB,0.058,145.423,236.99
Frigga,8.63,2460600.5,0.1339,2.669,2.42,1.08,61.34,MBA,0.177,61.390,16.12
Diana,8.34,2460600.5,0.2034,2.622,8.68,333.30,153.20,MBA,0.0706,120.60,62.32
Eurynome,7.78,2460600.5,0.1912,2.445,4.61,206.52,201.51,MBA,0.287,63.479,24.03
Sappho,8.06,2460600.5,0.1997,2.296,8.68,218.64,139.61,MBA,0.206,68.563,304.01
Terpsichore,8.71,2460600.5,0.2121,2.853,7.80,0.90,51.29,MBA,0.045,117.727,36.70
Alkmene,8.27,2460600.5,0.2209,2.762,2.83,25.43,110.88,MBA,0.167,57.621,245.27
Beatrix,8.75,2460600.5,0.0828,2.432,4.97,27.67,169.98,MBA,0.050,110.503,27.93
Klio,9.34,2460600.5,0.2356,2.363,9.31,327.50,15.07,MBA,0.0527,79.16,290.35
Io,7.95,2460600.5,0.1934,2.654,11.96,203.05,122.89,MBA,0.0666,154.79,317.06
Semele,8.73,2460600.5,0.2166,3.104,4.82,86.07,309.07,MBA,0.056,109.929,351.88
Sylvia,6.95,2460600.5,0.0939,3.477,10.88,73.01,264.63,OMB,0.046,253.051,35.44
Thisbe,7.28,2460600.5,0.1634,2.771,5.22,276.32,37.05,MBA,0.0671,232,115.90
Julia,6.37,2460600.5,0.1840,2.551,16.12,311.53,45.17,MBA,0.189,145.483,261.66
Antiope,8.45,2460600.5,0.1711,3.145,2.21,69.92,244.50,MBA,0.058,115.974,138.15
Aegina,9.14,2460600.5,0.1076,2.589,2.10,10.42,74.47,MBA,0.048,103.402,279.59
Undina,6.77,2460600.5,0.1051,3.184,9.92,101.40,236.84,MBA,0.2509,126.42,168.62
Minerva,7.90,2460600.5,0.1422,2.755,8.54,3.84,275.81,MBA,0.056,154.155,186.88
Aurora,7.73,2460600.5,0.0957,3.154,7.97,2.54,60.47,MBA,0.0395,204.89,300.30
Arethusa,8.02,2460600.5,0.1530,3.064,13.01,242.94,152.77,MBA,0.058,147.969,82.71
Aegle,7.68,2460600.5,0.1419,3.05,15.98,321.47,207.97,MBA,0.048,177.774,115.11
Klotho,7.84,2460600.5,0.2578,2.668,11.78,159.59,268.38,MBA,0.128,100.717,43.62
Ianthe,8.97,2460600.5,0.1878,2.686,15.58,353.89,158.29,MBA,0.029,132.788,213.68
Dike,9.48,2460600.5,0.1976,2.663,13.86,41.41,195.48,MBA,0.065,67.354,337.90
Hekate,7.78,2460600.5,0.1681,3.089,6.43,127.17,183.68,MBA,0.205,85.734,250.54
Helena,8.42,2460600.5,0.1407,2.583,10.19,343.37,347.84,MBA,0.1898,65.84,228.62
Miriam,9.48,2460600.5,0.2508,2.662,5.17,210.76,147.33,MBA,0.051,82.595,344.57
Hera,7.77,2460600.5,0.0796,2.704,5.42,136.04,189.96,MBA,0.217,83.908,77.41
Klymene,8.55,2460600.5,0.1623,3.144,2.79,41.65,31.81,MBA,0.052,136.553,271.60
Artemis,8.75,2460600.5,0.1790,2.373,21.45,188.22,57.02,MBA,0.032,94.864,345.57
Dione,7.80,2460600.5,0.1591,3.183,4.58,61.99,331.69,MBA,0.044,207.869,210.58
Camilla,7.12,2460600.5,0.0655,3.487,10.00,172.58,304.85,OMB,0.059,210.370,270.87
Hecuba,7.99,2460600.5,0.0630,3.231,4.21,349.73,213.21,OMB,0.148,75.498,305.22
Felicitas,9.00,2460600.5,0.3004,2.693,7.85,2.75,57.65,MBA,0.036,82.588,337.52
Lydia,7.86,2460600.5,0.0794,2.733,5.96,56.77,282.22,MBA,0.1808,86.09,284.24
Ate,8.24,2460600.5,0.1032,2.594,4.93,305.66,168.30,MBA,0.062,126.344,176.40
Iphigenia,9.79,2460600.5,0.1281,2.434,2.60,323.36,16.91,MBA,0.042,69.818,228.62
Amalthea,8.56,2460600.5,0.0859,2.376,5.04,123.33,80.24,MBA,0.224,50.137,312.59
Kassandra,8.48,2460600.5,0.1386,2.676,4.94,164.05,352.53,MBA,0.089,94.178,151.74
Thyra,7.79,2460600.5,0.1925,2.38,11.59,308.76,96.94,MBA,0.2747,79.83,194.00
Sirona,7.81,2460600.5,0.1390,2.771,3.56,63.69,93.78,MBA,0.2560,71.70,291.15
Lomia,8.18,2460600.5,0.0232,2.991,14.92,348.63,52.92,MBA,0.027,208.974,168.54
Peitho,8.94,2460600.5,0.1635,2.437,7.75,47.64,33.00,MBA,0.245,40.211,108.74
Althaea,8.39,2460600.5,0.0821,2.581,5.79,203.62,170.42,MBA,0.2306,57.30,107.16
Lachesis,7.83,2460600.5,0.0488,3.126,6.93,340.68,240.00,MBA,0.058,155.132,225.80
Hermione,7.44,2460600.5,0.1252,3.455,7.57,72.87,297.06,OMB,0.0482,209.00,166.58
Gerda,7.70,2460600.5,0.0244,3.231,1.64,178.00,318.91,OMB,0.297,70.676,316.41
Brunhild,9.01,2460600.5,0.1203,2.695,6.41,307.61,124.73,MBA,0.261,45.209,46.56
Alkeste,8.08,2460600.5,0.0783,2.629,2.96,187.91,61.75,MBA,0.128,88.648,316.59
Liberatrix,8.96,2460600.5,0.0813,2.742,4.67,168.94,109.78,MBA,0.182,48.418,238.01
Velleda,9.27,2460600.5,0.1051,2.439,2.92,23.23,328.36,MBA,0.1723,44.82,358.50
Johanna,8.57,2460600.5,0.0635,2.756,8.24,31.10,92.47,MBA,0.042,122,356.29
Nemesis,7.70,2460600.5,0.1274,2.749,6.25,76.16,302.82,MBA,0.067,162.515,145.41
Antigone,7.01,2460600.5,0.2130,2.869,12.27,135.66,110.60,MBA,0.151,113,346.44
Elektra,7.47,2460600.5,0.2096,3.125,22.78,144.97,237.86,MBA,0.086,180.652,302.11
Vala,10.03,2460600.5,0.0693,2.432,4.96,65.56,161.54,MBA,0.246,31.337,348.06
Aethra,8.96,2460600.5,0.3868,2.612,24.98,258.05,255.60,MCA,0.1990,42.87,19.70
Cyrene,8.07,2460600.5,0.1334,3.066,7.21,318.92,290.86,MBA,0.279,72.175,146.46
Sophrosyne,8.98,2460600.5,0.1151,2.564,11.61,345.84,85.64,MBA,0.0364,108,229.30
Hertha,8.37,2460600.5,0.2081,2.427,2.30,343.44,340.38,MBA,0.1436,79.24,138.81
Austria,9.78,2460600.5,0.0844,2.287,9.58,186.40,132.93,MBA,0.201,36.893,66.92
Meliboea,8.37,2460600.5,0.2110,3.123,13.43,202.17,107.68,MBA,0.065,128.678,35.65
Tolosa,9.04,2460600.5,0.1617,2.449,3.20,54.72,260.70,MBA,0.273,52.905,39.94
Juewa,8.06,2460600.5,0.1701,2.785,10.87,1.67,167.24,MBA,0.052,151.116,335.18
Siwa,8.50,2460600.5,0.2162,2.734,3.19,107.07,197.21,MBA,0.0676,109.79,134.00
Lumen,8.39,2460600.5,0.2132,2.667,11.89,318.45,57.85,MBA,0.067,117.916,252.13
