id,name,class,mass,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,Sun,STA,1.988469999999999977e+30,0,0,0,0,0,0
1,Mercury,PLA,3.3010110000000003e+23,-0.14072807971083467,-0.44390095802703367,-0.023345559199712027,0.021168726145230923,-0.0070979267300425707,-0.0025228137246656006
2,Venus,PLA,4.8673200000000001e+24,-0.718630216920494,-0.022503800694285869,0.041171841286368291,0.00051352863853524645,-0.020305979159572191,-0.0003071720624636718
3,Earth,PLA,5.9721859999999998e+24,-0.16852464838587761,0.96878330490703068,-4.1204902784772669e-06,-0.017233803161241911,-0.0030076353509434078,3.5625433956383212e-08
4,Mars,PLA,6.4169280000000005e+23,1.3903610660872401,-0.021009721237341406,-0.034618013851648165,0.00074792193511608041,0.015186193312903015,0.0002997511198472027
5,Jupiter,PLA,1.89813e+27,4.0034604886935394,2.935353187887876,-0.10182304439881817,-0.004561543175793329,0.0064441554878494041,7.5433589589709107e-05
6,Saturn,PLA,5.6831910000000002e+26,6.408556035505927,6.568042752621956,-0.36912728806812189,-0.0042898984080352682,0.003891408446303373,0.00010259439852253432
7,Uranus,PLA,8.6810129999999994e+25,14.430517557656342,-13.735657744129545,-0.23812913588919277,0.0026783895366973625,0.0026723511960976146,-2.4747541768189588e-05
8,Neptune,PLA,1.024096e+26,16.810755865727963,-24.99265128053397,0.12727185675778646,0.0025790635799468973,0.0017767660306176017,-9.5700104264292656e-05
9,Ceres,DWA,9.47e+20,-2.3775302987259774,0.80077722451899103,0.4628376139249159,-0.0036053977494531365,-0.010578761691586044,0.00033797674509144224
10,Pluto,DWA,1.3029330000000001e+22,-9.8768674506155634,-27.958021217999118,5.8508146183179317,0.0030389583024110897,-0.001529892783458499,-0.00071721955251030233
11,Eris,DWA,1.6716000000000001e+22,88.394027465611941,30.764945533470065,-26.095001334191821,-0.00020356688900614926,0.00097559802044515972,0.0008689427235414642
12,Haumea,DWA,4.006e+21,-45.990003276294026,-5.119436419665047,22.385433616817945,0.000476900997133959,-0.0020625147076093644,0.00036803586780526277
13,Makemake,DWA,3.1e+21,-43.578117035215911,11.479399156545361,24.918105342401766,-0.00070882024832138622,-0.0021071205998937181,0.00016868878661425638
14,Gonggong,DWA,1.75e+21,70.265953724411489,-44.226744336404302,-7.7694141554049256,0.0013519890779411922,0.00064199867404874473,0.00066621314283100725
15,Quaoar,DWA,1.4e+21,-16.767712018956978,-39.831180659839688,5.1591819379542043,0.0024312686623695393,-0.00089138592014282756,0.00017774625035404793
16,Sedna,DWA,1.194e+21,61.951644832829956,63.87559068731089,-18.589218546855086,-0.0022677479136980331,0.00090213788052900844,0.00012461213851656369
17,Orcus,DWA,6.348e+20,-35.138486500583738,28.70237502244764,-13.449979143009033,-0.0014250019158317101,-0.0016343109952132455,-0.00051722096161247681
18,Salacia,DWA,4.922e+20,37.506712030507167,-15.028926353551103,15.214828612061757,0.00097987367666486913,0.0023170396810064213,0.00061022452622346739
19,Luna,SAT,7.3458110000000003e+22,-0.17064800909822384,0.96716641574205053,0.00024024009390547621,-0.016911901792653592,-0.0034668101516408993,-9.0537977505750449e-07
20,Phobos,SAT,10619190000000000,1.3903952767320413,-0.020960388776769687,-0.034632487685335195,-0.00014216760394433542,0.015934268878570388,0.00076615726777631257
21,Deimos,SAT,1440690000000000,1.3902326616153982,-0.020952965482287585,-0.034548109807226821,0.00047998524389557913,0.014459840667074574,0.00039693830325851118
22,Io,SAT,8.9296760000000008e+22,4.0037602871153295,2.932543370576659,-0.10191831537131672,0.0053629904959903215,0.0075275274546233598,0.00026466302378470223
23,Europa,SAT,4.798588e+22,3.9992356645752758,2.9368078029114004,-0.10184339337527527,-0.0070866949861313581,-0.0011065725406928925,-0.00017052950403628482
24,Ganymede,SAT,1.481483e+23,3.9965374369549282,2.9335369178926256,-0.10196774496458712,-0.0029569019318843636,0.00037572633441679444,-0.0001311860810956203
